"n","member_id","member_name","current_DOIs","current_DOIs_abstracts","current_journal_articles","current_journal_articles_abstracts"
"3374","3199","The National Federation of the Blind","23","0","23","0"
"3375","3205","British Machine Vision Association and Society for Pattern Recognition","188","0",NA,NA
"3376","3215","Journal of Injury and Violence Research","166","0","166","0"
"3377","3218","The Japanese Society of Nutrition and Dietetics","67","0","67","0"
"3378","3224","Universidade Estadual de Ponta Grossa (UEPG)","1037","0","968","0"
"3379","3225","Turkish Nephrology Dialysis Transplantation","0","0",NA,NA
"3380","3228","European Space Agency","58","0",NA,NA
"3381","3229","Scandinavian Journal of Work, Environment and Health","226","0","226","0"
"3382","3230","Queensland University of Technology","307","0.918566763401031","287","0.98257839679718"
"3383","3231","Peytchinski Publishing Ltd.","267","0","253","0"
"3384","3242","Macrothink Institute, Inc.","3164","0.896017670631409","2835","1"
"3385","3246","Universidad de la Sabana","500","0.298000007867813","410","0.363414645195007"
"3386","3249","Lyson Center for Civic Agriculture and Food Systems","250","0","243","0"
"3387","3250","Image Processing On Line","63","0","60","0"
"3388","3254","American Society of Sugarbeet Technologist","0","0",NA,NA
"3389","3255","CSTUG","25","0","25","0"
"3390","3257","Sociedade Paranaense de Matematica","291","0.993127167224884","289","1"
"3391","3267","The Korean Environmental Sciences Society","365","0","333","0"
"3392","3269","Japanese Society of Snow and Ice","15","0","15","0"
"3393","3271","The Korean Society of Grassland and Forage Science","124","0","114","0"
"3394","3273","The Korean Society of Environmental Agriculture","100","0","100","0"
"3395","3277","Hamad bin Khalifa University Press (HBKU Press)","556","0","192","0"
"3396","3279","Freshwater Biological Association","0","0",NA,NA
"3397","3285","Ubiquity Press, Ltd.","5581","0","5407","0"
"3398","3287","The Pennsylvania State University Press","4274","0","4246","0"
"3399","3289","Japan Society of Spring Engineers","30","0","30","0"
"3400","3300","The Society for Near Eastern Studies in Japan","0","0",NA,NA
"3401","3301","The Stomatological Society, Japan","0","0",NA,NA
"3402","3302","Herpetological Society of Japan","41","0","41","0"
"3403","3307","Japan Association for Wind Engineering","128","0","128","0"
"3404","3309","The Membrane Society of Japan","133","0","133","0"
"3405","3310","The Medical Society of Kansai Medical University","17","0","17","0"
"3406","3318","Zeppelini Editorial e Comunicacao","864","0.120370373129845","635","0.163779526948929"
"3407","3325","International Water Management Institute (IWMI)","70","0",NA,NA
"3408","3326","Malaysian Palm Oil Council","8","0",NA,NA
"3409","3329","Sophia Publishing Group, Inc.","374","0","374","0"
"3410","3330","Universidad de Chile","1000","0.632000029087067","1000","0.632000029087067"
"3411","3332","International Association for Sharing Knowledge and Sustainability","48","0","41","0"
"3412","3348","Korean Institute of Navigation and Port Research","23","0","20","0"
"3413","3349","The Korean Academy of Conservative Dentistry (KAMJE)","129","0","129","0"
"3414","3357","Norwegian Association of Optometry","8","0.75","8","0.75"
"3415","3362","AITO - Association Internationale pour les Technologies Objets","45","0","44","0"
"3416","3367","National Association of Geoscience Teachers","0","0",NA,NA
"3417","3377","Media Peternakan","108","0","100","0"
"3418","3378","Journal of Tropical Soils","71","0.760563373565674","54","1"
"3419","3380","Fordham University Press","1253","1",NA,NA
"3420","3382","Oregon State University","142","0.0492957755923271","113","0.0619469024240971"
"3421","3383","World Health Organization, Western Pacific Regional Office","62","0","52","0"
"3422","3384","University of Central Lancashire","0","0",NA,NA
"3423","3389","Arachnologische Gesellschaft e.v.","24","0","24","0"
"3424","3393","Journal of Singularities","63","0","63","0"
"3425","3396","Japan Society of Physical Education, Health, and Sport Sciences","237","0","237","0"
"3426","3401","Publishing House of Pharmaceutical Care and Research","160","0","153","0"
"3427","3403","Japan Health Physics Society","115","0","115","0"
"3428","3406","Indonesian Society for Microbiology","36","0","36","0"
"3429","3407","ScopeMed Publishing","8902","0","8897","0"
"3430","3408","The Japanese Society of Applied Glycoscience","45","0","45","0"
"3431","3409","Dental Hypotheses","0","0",NA,NA
"3432","3422","The Open University","122","0","122","0"
"3433","3426","The Korean Earth Science Society","145","0","128","0"
"3434","3431","University Clinical Centre Tuzla","72","0","67","0"
"3435","3433","Academy of Management","13096","0","13096","0"
"3436","3444","Smithsonian Institution","360","0.0416666679084301","283","0.028268551453948"
"3437","3460","LookUs Bilisim A.S.","3171","0","2841","0"
"3438","3468","Japanese Society for Plant Cell and Molecular Biology","111","0","111","0"
"3439","3469","Japan Society for Southeast Asian Studies","14","0","14","0"
"3440","3470","University of Illinois Libraries","962","0.982328474521637","962","0.982328474521637"
"3441","3476","Geological Survey of Slovenia","55","0","48","0"
"3442","3478","EManuscript Services","2727","0","2588","0"
"3443","3479","Editora da Universidade Federal Fluminense","0","0",NA,NA
"3444","3486","Canadian Center of Science and Education","10594","0.999150454998016","10592","0.99933910369873"
"3445","3488","American Museum of Natural History","19","0","2","0"
"3446","3489","Japan Atherosclerosis Society","420","0","420","0"
"3447","3492","International Association for Energy Economics (IAEE)","324","0","294","0"
"3448","3496","Faculty of Physical Education and Sport","39","0","37","0"
"3449","3498","ANPEGE - Revista","47","0","41","0"
"3450","3500","Brazilian Society for Computational and Applied Mathematics (SBMAC)","644","0.0947204977273941","92","0.66304349899292"
"3451","3518","SIIS - Centro de Documentacion y Estudios","152","0","134","0"
"3452","3519","Editorial Glosa, S.L.","66","0","57","0"
"3453","3528","Boom Uitgevers Den Haag","4047","0","4047","0"
"3454","3541","International Dental Research","57","0.877192974090576","50","1"
"3455","3542","International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA)","581","0","581","0"
"3456","3547","International Association for the Study of Popular Music (IASPM)","65","0","60","0"
"3457","3548","Society of Motion Picture and Television Engineers (SMPTE)","821","0","730","0"
"3458","3556","Sociedad Latinoamericana de Especialistas en Mamiferos Acuaticos (SOLAMAC)","20","1","20","1"
"3459","3564","International Association of Physical Chemists (IAPC)","190","0.794736862182617","151","1"
"3460","3570","Baycinar Tibbi Yayincilik","1028","0","1028","0"
"3461","3581","The American Schools of Oriental Research","0","0",NA,NA
"3462","3586","Japan Academy of Nursing Science","116","0","116","0"
"3463","3588","Japanese Institute of Landscape Architecture","216","0","216","0"
"3464","3591","Bilimsel Tip Publishing House","1273","0","1270","0"
"3465","3592","Instituto Estudios Bursatiles (IEB)","0","0",NA,NA
"3466","3595","VM Media SP. zo.o VM Group SK","2796","0","2796","0"
"3467","3599","Faculdade de Desporto","127","0","119","0"
"3468","3602","STEF92 Technology","10082","0",NA,NA
"3469","3605","Society of Geomagnetism and Earth, Planetary and Space Sciences","0","0",NA,NA
"3470","3611","Pro Pharma Communications International","90","0","81","0"
"3471","3612","Universitat Autonoma de Barcelona","2117","0","2116","0"
"3472","3613","The Institute for Research and Community Services (LPPM) ITB","856","0","724","0"
"3473","3619","Japanese Society of Pharmaceutical Health Care and Sciences","153","0","153","0"
"3474","3621","Japan Oil Chemists' Society","571","0","571","0"
"3475","3623","The Japan Society of International Economics","29","0","29","0"
"3476","3627","Korean Society of Applied Entomology","38","0","37","0"
"3477","3633","Polish Society for Magnesium Research","299","0","294","0"
"3478","3634","Maralte, B.V.","0","0",NA,NA
"3479","3648","Japanese Society for Physiological Psychology and Psychophysiology","19","0","19","0"
"3480","3653","Faculty of Civil Engineering, University of Zagreb","323","0",NA,NA
"3481","4561","Vocabulary Learning and Instruction","0","0",NA,NA
"3482","5337","Institute of Rock Structure and Mechanics, AS CR","251","0","251","0"
"3483","5810","International Biophilia Rehabilitation Academy","120","0","120","0"
"3484","6374","Institute of Humanities","0","0",NA,NA
"3485","6864","Abant Izzet Baysal Universitesi Egitim Fakultesi Dergisi","322","0","322","0"
"3486","6874","Korea Society of Color Studies","108","0","108","0"
"3487","6881","Institute of Metals and Technology","376","0","376","0"
"3488","6893","Korean Academic Society of Business Administration","258","0","258","0"
"3489","6900","Wroclaw Medical University","950","0","950","0"
"3490","6927","Journal Press India","202","1","202","1"
"3491","6948","International Journal of Informatics Technologies","104","0","104","0"
"3492","6954","IFHAN","133","0","133","0"
"3493","6955","Korean Wetlands Society","18","0","18","0"
"3494","6962","Yonsei University College of Medicine","23","0","23","0"
"3495","6977","ERFARET","0","0",NA,NA
"3496","6982","Ter es Tarsadalom","155","0.561290323734283","155","0.561290323734283"
"3497","6984","Columbia University Libraries/Information Services","0","0",NA,NA
"3498","6986","The Korea Society for Child Education (KSCE)","159","0","159","0"
"3499","7025","Moment Journal","80","0","80","0"
"3500","7029","The Korean Societ of Veterinary Clinics","232","0","232","0"
"3501","7030","Eskisehir Osmangazi University Journal of Social Sciences","100","0","100","0"
"3502","7039","ACT Publishing Group","242","0","242","0"
"3503","7048","Korea Society of Geothermal Energy Engineers","3","0","3","0"
"3504","7055","Medical Science and Discovery","0","0",NA,NA
"3505","7059","SBV Sociedade Brasileira de Vacuo","80","0","80","0"
"3506","7062","Physician Assistant Education Association","7","0",NA,NA
"3507","7093","ITMO University","1478","0","1478","0"
"3508","7095","Wisconsin Space Grant Consortium","66","0.242424249649048","66","0.242424249649048"
"3509","7132","Universidad de Antioquia","1493","0.17749497294426","1493","0.17749497294426"
"3510","7150","Historical and Social Educational Ideas","555","0.181981980800629","530","0.190566033124924"
"3511","7153","Bumhan Philosophical Society","63","0","63","0"
"3512","7160","Ekev Akademi Dergisi","198","0","198","0"
"3513","7169","IRBIS","295","0.366101682186127","289","0.373702436685562"
"3514","7185","Kutafin Moscow State Law University","2090","0.150717705488205","2090","0.150717705488205"
"3515","7203","Bitlis Eren Universitesi Fen Bilimleri Dergisi","181","0","181","0"
"3516","7217","Mobilization Journal","78","0.0641025677323341","78","0.0641025677323341"
"3517","7244","Forschungszentrum Julich, Zentralbibliothek","48","1","48","1"
"3518","7266","Termeszetfoldrajzi Kozlemenyek Journal","0","0",NA,NA
"3519","7275","Sociedade Brasileira de Urologia","0","0",NA,NA
"3520","7278","Korean Society of Ecology and Infrastructure Engineering","9","0","9","0"
"3521","7288","Nitte Management Review","0","0",NA,NA
"3522","7295","Japanese Association for Digital Humanities","18","0","18","0"
"3523","7313","STEM Fellowship","35","0","35","0"
"3524","7330","The Center for Social Welfare Research Yonsei University","29","0","29","0"
"3525","7335","KIMS Foundation and Research Center","59","0","59","0"
"3526","7354","The Korean Association for Saramdaum Education","41","0","41","0"
"3527","7361","Adiyaman Universitesi Egitim Bilimleri Dergisi","47","0","47","0"
"3528","7368","International Neuroscience Institute","0","0",NA,NA
"3529","7376","The Institute for Legal Studies","150","0","150","0"
"3530","7379","Kesit Akademi","0","0",NA,NA
"3531","7391","Innovative Research Publications","0","0",NA,NA
"3532","7392","Revista UNIANDRADE","0","0",NA,NA
"3533","7393","Croatian Entomological Society","0","0",NA,NA
"3534","7409","Korean Academy of Sensory Integration","0","0",NA,NA
"3535","7416","Instituto Federal do Amapa","33","0","33","0"
"3536","7418","Pan American Journal of Medical Thermology","0","0",NA,NA
"3537","7432","International Academy of Science and Higher Education","182","0","182","0"
"3538","7441","Society of Pansori","33","0","33","0"
"3539","7448","The Society of Korean Photography","0","0",NA,NA
"3540","7466","Ege Egitim Dergisi","85","0","85","0"
"3541","7481","International Society for Technology in Arthroplasty","0","0",NA,NA
"3542","7484","Turkish Journal of Forestry","142","0","142","0"
"3543","7495","Surdurulebilir ve Engelsiz Bilim Egitimi","0","0",NA,NA
"3544","7509","SAHkartell","147","0.306122452020645","142","0.316901415586472"
"3545","7516","Izmir University Medical Journal","0","0",NA,NA
"3546","7517","Karadeniz Incelemeleri Dergisi","76","0","76","0"
"3547","7522","Beykent Unversity Journal of Social Sciences","31","0","31","0"
"3548","7527","International Journal of Philippine Science and Technology","0","0",NA,NA
"3549","7531","Korean Critical Sociological Association","131","0","131","0"
"3550","7551","International Journal of Automotive Engineering and Technologies","46","0","46","0"
"3551","7568","Graduate School of Science, Moscow University of Finance and Law","0","0",NA,NA
"3552","7574","St. Mary's College of California","4","0","4","0"
"3553","7582","American Society for Engineering Education","10","0","10","0"
"3554","7595","Publio Kiado","0","0",NA,NA
"3555","7596","Universidade Veiga de Almeida","70","0","70","0"
"3556","7599","McGraw-Hill International & Professional","0","0",NA,NA
"3557","7601","Eurasian Journal of Soil Sciences","120","0","120","0"
"3558","7602","Korean Theatre Studies Association","72","0","72","0"
"3559","7609","Polskie Towarzystwo Biochemiczne (Polish Biochemical Society)","312","0.826923072338104","312","0.826923072338104"
"3560","7619","Hrvatski Prirodoslovno Drustvo (Croatian Society for Natural Sciences)","70","0.214285716414452","70","0.214285716414452"
"3561","7620","Grapho, LLC","90","0","90","0"
"3562","7624","National University of Singapore","26","0","26","0"
"3563","7625","Instytut Spawalnictwa","126","0","126","0"
"3564","7627","HPE Ulyanovsk SAA Stolypin","324","0","324","0"
"3565","7642","Revista Scripta Alumni","0","0",NA,NA
"3566","7681","Sultan Qaboos University Medical Journal","229","0.646288216114044","229","0.646288216114044"
"3567","7686","Korean Society for the Scientific Study of Subjectivity","0","0",NA,NA
"3568","7698","Ege Strategic Research Journal","26","0","26","0"
"3569","7741","IUFS Journal of Biology","0","0",NA,NA
"3570","7764","Review of the Faculty of Divinity of Amasya University","26","0","26","0"
"3571","7765","Korea Heart Rhythm Society","45","0","45","0"
"3572","7768","The Energy and Resources Institute","15","0","15","0"
"3573","7781","Current Science Association","1365","0","1365","0"
"3574","7796","Journal of Adolescent Psychology and Psychiatry","0","0",NA,NA
"3575","7807","LLC Relevant Medicine","18","0","18","0"
"3576","7813","Rhazes, LLC","0","0",NA,NA
"3577","7823","Nucleo de Estudos em Saude Publica","71","1","71","1"
"3578","7825","Revista Biota Amazonia","0","0",NA,NA
"3579","7833","Associacao Brasileira de Etica e Odontologia Legal (ABOL)","0","0",NA,NA
"3580","7835","Krupanidhi Educational Trust","40","0","40","0"
"3581","7849","The Medical Journal of Haydarpasa Numune Training and Research Hospital","0","0",NA,NA
"3582","7876","Universidad de Los Andes - Facultad de Arquitectura y Diseno","0","0",NA,NA
"3583","7885","Society of Biocontrol Advancement","0","0",NA,NA
"3584","7896","Moscow Institute of Energy-Safety and Energy-Economy","158","0","158","0"
"3585","7897","SATA Publishing Corporation","0","0",NA,NA
"3586","7904","Journal of European Education","0","0",NA,NA
"3587","7920","Instituto Nacional de Salud (Peru)","335","0","335","0"
"3588","7941","Faroe University Press","56","1","56","1"
"3589","7949","Korean Neurocritical Care Society","62","0","62","0"
"3590","7965","Journal of Extension Systems","9","1","9","1"
"3591","7971","Uyusmazlik Mahkemesi Dergisi","54","0","54","0"
"3592","7973","IJASOS- International E-journal of Advances in Social Sciences","355","0","355","0"
"3593","7974","European Journal of Educational Studies","0","0",NA,NA
"3594","7984","Neurosurgical Atlas,Inc.","279","0",NA,NA
"3595","7985","Revista Lugares de Educacao","0","0",NA,NA
"3596","8004","Agricultural Research Communication Center","1985","0.997481107711792","1985","0.997481107711792"
"3597","8024","Faculdade Antonio Meneguetti","108","0.851851880550385","108","0.851851880550385"
"3598","8026","National Research Tomsk Polytechnic University","332","0.737951815128326","313","0.782747626304626"
"3599","8041","Revista Direito e Acao","0","0",NA,NA
"3600","8047","Revista de Estudos e Pesquisas Avancadas do Terceiro Setor","0","0",NA,NA
"3601","8052","Biotecnologia en el Sector Agropecuario y Agroindustrial","65","0","65","0"
"3602","8055","Medical University of Silesia","121","0","121","0"
"3603","8057","The Korean Society of Physical Therapy","136","0","136","0"
"3604","8070","Current Approaches in Psychiatry","116","0","116","0"
"3605","8072","University of Guam Press","0","0",NA,NA
"3606","8087","Maxwell Scientific Publication Corp.","320","0","320","0"
"3607","8091","British Institute at Ankara","45","0","43","0"
"3608","8092","The Society of Korean Semantics","73","0","73","0"
"3609","8097","Korean Association of Youth Welfare","76","0","76","0"
"3610","8120","Daegu University Research Institute of the Korea Special Education","143","0","143","0"
"3611","8121","Modern Korean Literature Association","0","0",NA,NA
"3612","8124","Faculty of Medicine, Universiti Kebangsaan Malaysia","0","0",NA,NA
"3613","8135","Frederick Douglass Institute Collaborative","0","0",NA,NA
"3614","8144","Scholarena, LLC","139","0","139","0"
"3615","8160","Revista de Estudos Sociais","60","0.916666686534882","60","0.916666686534882"
"3616","8163","College of Humanities and Social Sciences, UAEU","9","0.555555582046509","9","0.555555582046509"
"3617","8176","MediaSphere Medical LLC","236","0","236","0"
"3618","8182","University of Alberta","0","0",NA,NA
"3619","8188","SDU Journal of Natural and Applied Sciences","443","0","443","0"
"3620","8189","The Pukyung Institute for Korean History","33","0","33","0"
"3621","8218","Gumushane University E-Journal of Faculty of Communication","159","0","159","0"
"3622","8219","JMTR Publications, LLC","0","0",NA,NA
"3623","8225","International Journal of Human and Behavioral Science","11","0","11","0"
"3624","8235","Turkish Journal of Agricultural Research (TUTAD)","107","0","107","0"
"3625","8244","The Korean Society for Women Psychology","0","0",NA,NA
"3626","8250","Scientia Amazonia","0","0",NA,NA
"3627","8258","UPT Penerbitan Universitas Jember","1060","0.9867924451828","1047","0.999044895172119"
"3628","8285","Statisztikai Szemle","111","0","111","0"
"3629","8315","Instituto Nacional de Educacao de Surdos","0","0",NA,NA
"3630","8337","Universidade Catolica Dom Bosco","534","0.910112380981445","534","0.910112380981445"
"3631","8371","Modern Science Publishers","106","1","106","1"
"3632","8397","Medical Journal of Ankara Training and Research Hospital","0","0",NA,NA
"3633","8430","Research Group Innoeduca, University of Malaga","0","0",NA,NA
"3634","8438","INOITs ALMAVEST Ltd.","969","0","969","0"
"3635","8464","Ordem dos Medicos","477","0.979035615921021","477","0.979035615921021"
"3636","8465","Mehmet Akif Ersoy Universitesi Sosyal Bilimler Enstitusu Dergisi","244","0","244","0"
"3637","8468","Korean Society for Journalism and Communication Studies","220","0","220","0"
"3638","8474","Revista Datavenia - UEPB","0","0",NA,NA
"3639","8482","Physics Society of the Philippines (Samahang Pisika Ng Pilipinas)","13","0","12","0"
"3640","8493","Ural Research Institute of Metrology (UNIIM)","31","0.483870953321457","31","0.483870953321457"
"3641","8500","The Society for Aerospace System Engineering","0","0",NA,NA
"3642","8501","Russian Cognitive Linguistics Association","191","0","191","0"
"3643","8505","ACCB Publishing","130","0.269230782985687","130","0.269230782985687"
"3644","8516","Associacao Brasileira de Estudos Populacionais","86","0.837209284305573","86","0.837209284305573"
"3645","8517","Korean Association of Practical Arts Education","10","0","10","0"
"3646","8534","Korean National Research Center for the Arts","167","0","167","0"
"3647","8552","Hasanuddin University, Faculty of Law","562","0.992882549762726","560","0.996428549289703"
"3648","8558","Sekolah Tinggi Filsafat Islam (STFI) Sadra","0","0",NA,NA
"3649","8560","Czech Society for Systems Integration","5","0","5","0"
"3650","8586","Hapres","221","0","221","0"
"3651","8600","Hacettepe University Faculty of Health Sciences Journal","38","0","38","0"
"3652","8604","The Institute for Culture, Media and Entertainment Laws","36","0","36","0"
"3653","8621","Silesian University of Technology","212","0","212","0"
"3654","8622","The Society of Korean Christian Social Ethics","67","0","67","0"
"3655","8638","Latest Thinking, GmbH","232","0","232","0"
"3656","8639","Korean Corporation Management Association","0","0",NA,NA
"3657","8643","The Korean Society of Living Environmental System","204","0","204","0"
"3658","8658","IAIN Samarinda","182","0.423076927661896","182","0.423076927661896"
"3659","8678","Society of Chemists and Technologists of Macedonia","53","1","53","1"
"3660","8712","Methodist Theological University","53","0","53","0"
"3661","8722","The Open Journal","712","0","712","0"
"3662","8727","American College of Cardiology","0","0",NA,NA
"3663","8733","Federal Reserve Bank of Richmond","72","0","72","0"
"3664","8736","Buletin Asociacion Geografos Espanoles","229","0.786026179790497","229","0.786026179790497"
"3665","8774","Korean Social and Personality Psychological Association","53","0","53","0"
"3666","8816","Pomorski Uniwersytet Medyczny w Szczecinie","209","0.937799036502838","209","0.937799036502838"
"3667","8855","Connexions . International Professional Communication Journal","0","0",NA,NA
"3668","8864","Siauliai University","126","0.992063462734222","126","0.992063462734222"
"3669","8867","Faculty of Asian and Middle Eastern Studies","0","0",NA,NA
"3670","8868","IFCE","141","0.709219872951508","135","0.740740716457367"
"3671","8869","Sosyal Guvence","22","0","22","0"
"3672","8870","Ural State Mining University","309","0","309","0"
"3673","8887","Institute for Urban Humanities","34","0","34","0"
"3674","8938","Technical University of Kosice, Faculty of Mechanical Engineering","65","0","65","0"
"3675","8944","Australian Association for the Education of the Gifted and Talented, Ltd.","43","0.116279073059559","43","0.116279073059559"
"3676","8946","Libyan International Medical University","0","0",NA,NA
"3677","8960","NRC Kurchatov Institute","115","0","115","0"
"3678","8972","Associacao Brasileira de Pavimentacao","0","0",NA,NA
"3679","9023","Revista Mundi","250","0.980000019073486","250","0.980000019073486"
"3680","9067","New Zealand Ecological Society","90","0","90","0"
"3681","9070","Shanxi Medical Periodical Press","0","0",NA,NA
"3682","9099","Korean Society of Systemic Theology","61","0","61","0"
"3683","9123","Anadolu Klinigi Tip Bilimleri Dergisi","92","0","92","0"
"3684","9125","Revista Ambivalencias","49","0.979591846466064","49","0.979591846466064"
"3685","9130","Mugla Sitki Kocman University Journal of Education","33","0","33","0"
"3686","9159","El-Med-Pub Publisher","226","0.76106196641922","226","0.76106196641922"
"3687","9163","Pulmonary Hypertension Association","104","0","104","0"
"3688","9165","CAPES","43","1","43","1"
"3689","9168","Sociedade Brasileira de Matematica","29","0","29","0"
"3690","9171","Molecular and Cellular Biomedical Sciences (MCBS) Office","40","1","40","1"
"3691","9187","Logeion Filosofia da Informacao","80","0.899999976158142","80","0.899999976158142"
"3692","9188","Universidade Federal do Tocantins - UFT","0","0",NA,NA
"3693","9226","Charaka Publishers","506","1","506","1"
"3694","9239","FSBSI Mental Health Research Cenetre","0","0",NA,NA
"3695","9241","Revista Estudos Institucionais","123","0.804878056049347","123","0.804878056049347"
"3696","9274","Korean Association of Sport Pedagogy","71","0","71","0"
"3697","9279","Simbiotics, LLC","0","0",NA,NA
"3698","9291","TI Journals","0","0",NA,NA
"3699","9294","Plekhanov University of Economics","0","0",NA,NA
"3700","9301","Intermedia International e-journal","40","0","40","0"
"3701","9329","British Global Travel Health Association (BGTHA)","20","0","20","0"
"3702","9338","Revista Brasileira de Analises Clinicas","135","0","135","0"
"3703","9362","First Edition Design Publishing","2","0",NA,NA
"3704","9375","Bindura University of Science Education","0","0",NA,NA
"3705","9395","Scholarly Research Journals","352","1","352","1"
"3706","9400","Central Luzon State University International Affairs Office","17","0","17","0"
"3707","9403","Asia Culture Academy of Incorporated Association","1523","0","1523","0"
"3708","9428","Ciencia e Cultura","0","0",NA,NA
"3709","9429","Revista Dissertatio de Filosofia","0","0",NA,NA
"3710","9458","Revista Educacao em Foco (UFJF)","0","0",NA,NA
"3711","9469","Institute of Industrial Organic Chemistry (IPO)","148","0","148","0"
"3712","9470","Kalashnikov Izhevsk State Technical University","631","0.971473872661591","613","1"
"3713","9471","Journal of Dentomaxillofacial Science","0","0",NA,NA
"3714","9473","Hrvatsko filolosko drustvo (Croatian Philological Society)","85","0","73","0"
"3715","9484","Cairo Center for Development Benchmarking","0","0",NA,NA
"3716","9491","Ohio Counseling Association","0","0",NA,NA
"3717","9493","Agricultura, Sociedad y Desarrollo","102","0.921568632125854","102","0.921568632125854"
"3718","9524","Asociacion Civil Universidad de Ciencias y Humanidades","11","0","11","0"
"3719","9535","Society of Pharmaceutical Tecnocrats","1473","0.719619810581207","1473","0.719619810581207"
"3720","9547","Ethnoscientia","73","0.698630154132843","73","0.698630154132843"
"3721","9549","The Society of Modern Literary Theory","135","0","135","0"
"3722","9559","Federacao Brasileira de Gastroenterologia","0","0",NA,NA
"3723","9562","IJHMCR ( International Journal Of Health Medicine and Current Research )","0","0",NA,NA
"3724","9589","Revista Mexicana de Ciencias Pecuarias","156","0.85897433757782","156","0.85897433757782"
"3725","9603","International Big History Association","77","0","68","0"
"3726","9619","Universidad de Magallanes, Instituto de La Patagonia","0","0",NA,NA
"3727","9638","The Korea Society of Energy and Climate Change Education","47","0","47","0"
"3728","9661","Asociacion Colombiana de Neurologia","123","0","123","0"
"3729","9679","Barcaray Publishing Limited","0","0",NA,NA
"3730","9720","Canadian Journal of Nutrition","0","0",NA,NA
"3731","9727","Badan Penelitian dan Pengembangan Kesehatan","692","0.458092480897903","671","0.472429215908051"
"3732","9736","BSNV College Lucknow","83","1","83","1"
"3733","9738","Information Bulletin on Variable Stars (IBVS)","81","0","81","0"
"3734","9746","Society of Teachers of Family Medicine","443","0.507900655269623","443","0.507900655269623"
"3735","9748","Acta Pediatrica Portuguesa","55","0","54","0"
"3736","9757","Korean Urological Oncology Society","63","0","63","0"
"3737","9773","REBECA - Revista Brasileira de Estudos de Cinema e Audiovisual","84","0.809523820877075","84","0.809523820877075"
"3738","9781","Universitas Tadulako","450","0.98888885974884","449","0.991091310977936"
"3739","9789","Archyworld Publishing, Ltd.","39","0.512820541858673","39","0.512820541858673"
"3740","9795","Istanbul Universitesi Kadin Arastirmalari Dergisi","0","0",NA,NA
"3741","9812","Asociacion Colombiana de Gastroenterologia","184","0.989130437374115","184","0.989130437374115"
"3742","9829","Authorea, Inc.","0","0",NA,NA
"3743","9939","Al-Mustansiriyah Journal of Science","288","0.961805582046509","277","1"
"3744","9965","PJSC Human Stem Cells Institute","107","0","107","0"
"3745","9972","International Journal of Recent Trends in Engineering and Research","1433","0","1433","0"
"3746","9983","The Korean Association of Interpretation and Translation Education","52","0","52","0"
"3747","9995","Academic Forensic Pathology International","0","0",NA,NA
"3748","9996","The Society of Philosophical Studies","98","0","98","0"
"3749","10029","SidSam Profeza Technologies India Private Limited","0","0",NA,NA
"3750","10065","Kulttuuripoliittisen tutkimuksen vuosikirja","26","0.807692289352417","26","0.807692289352417"
"3751","10098","Journal of Management Economics Literature Islamic and Political Science","36","0","36","0"
"3752","10109","Lancet XXI STORIChChYa, LLC","0","0",NA,NA
"3753","10125","LLC Approbation","10","0.699999988079071","8","0.875"
"3754","10139","Universidad de Pamplona","288","1","288","1"
"3755","10190","Pandit Ravishankar Shukla University","0","0",NA,NA
"3756","10229","Universidade Lusofona de Humanidades e Tecnologias","132","0","120","0"
"3757","10234","Korea Insurance Research Institute","43","0","43","0"
"3758","10235","Dostoevsky Omsk State University","151","0.615894019603729","151","0.615894019603729"
"3759","10245","University of Missouri","73","0","73","0"
"3760","10263","Research Institute for Image and Cultural Contents","71","0","71","0"
"3761","10297","Fundacion Aigle","155","0","155","0"
"3762","10303","Revista Brasileira de Educacao em Ciencia da Informacao (REBECIN)","0","0",NA,NA
"3763","10306","Enriched Publications Pvt. Ltd.","0","0",NA,NA
"3764","10330","Publiverse Online S.R.L","5","0","5","0"
"3765","10354","Balai Bahasa Jawa Timur","45","0.866666674613953","45","0.866666674613953"
"3766","10363","Associacao Internacional de Lusitanistas","86","0.906976759433746","79","0.98734176158905"
"3767","10412","ASEPUMA","22","0","20","0"
"3768","10438","Bucharest University of Economic Studies","398","0","379","0"
"3769","10465","International Journal of Computation and Applied Science","26","0","26","0"
"3770","10470","Indian Phytopathological Society","93","0","93","0"
"3771","10474","UNTAG Semarang","56","0.46428570151329","50","0.519999980926514"
"3772","10485","Revista Dialogos Mediterranicos","0","0",NA,NA
"3773","10499","Publicidad Permanyer, SLU","2320","0","2320","0"
"3774","10508","Mehmet Akif Ersoy Universitesi Veteriner Fakultesi Dergisi","49","0","49","0"
"3775","10574","Sociedade Portuguesa de Medicina Interna","141","0","138","0"
"3776","10584","International Joint Conferences on Artificial Intelligence","2619","0.998854517936707",NA,NA
"3777","10597","Open Therapeutics","2","0.5",NA,NA
"3778","10604","Journal of Interaction Science","12","0.5","12","0.5"
"3779","10619","Turk Immunoloji Dernegi","56","0","56","0"
"3780","10648","NRCERM EMERCOM of Russia","129","0.472868204116821","118","0.51694917678833"
"3781","10653","Colegio Oficial de Ingenieros Agronomos de Centro y Canarias","106","0",NA,NA
"3782","10660","AM Journal of Art and Media Studies","151","0.900662243366241","151","0.900662243366241"
"3783","10666","FKIP The University of Jember","143","0.944055914878845","135","1"
